membership,school,url
www.oclc.org,Montana State University,http://www.lib.montana.edu/
www.oclc.org,The Morgan Library & Museum,http://www.themorgan.org/research/services
www.oclc.org,"Museum of Fine Arts, Boston",http://www.mfa.org/
www.oclc.org,"Museum of Fine Arts, Houston",http://www.mfah.org/
www.oclc.org,Museum of Modern Art,http://www.moma.org/
www.oclc.org,National Archives and Records Administration,http://www.archives.gov/
www.oclc.org,National Gallery of Art,http://www.nga.gov/
www.oclc.org,National Library of Australia,http://www.nla.gov.au/
www.oclc.org,"National Library of New Zealand, Alexander Turnbull Library",http://www.natlib.govt.nz/
www.oclc.org,National Library of Scotland,http://www.nls.uk/
www.oclc.org,Natural History Museum (UK),http://www.nhm.ac.uk/research-curation/library/
www.oclc.org,Nelson-Atkins Museum of Art,http://www.nelson-atkins.org/
www.oclc.org,The New School,http://library.newschool.edu/
www.oclc.org,New York Public Library,http://www.nypl.org/
www.oclc.org,New York University,http://www.nyu.edu/
www.oclc.org,New-York Historical Society,http://www.nyhistory.org/
www.oclc.org,Newberry Library,http://www.newberry.org/
www.oclc.org,Northwestern University,http://www.northwestern.edu/libraries/index.html
www.oclc.org,Occidental College,http://www.oxy.edu
www.oclc.org,Ohio State University,http://library.osu.edu/
www.oclc.org,Oklahoma State University,http://www.library.okstate.edu/
www.oclc.org,Pennsylvania State University,http://www.libraries.psu.edu/
www.oclc.org,Philadelphia Museum of Art,http://www.philamuseum.org/library/
www.oclc.org,Princeton University,http://library.princeton.edu/
www.oclc.org,Purdue University,https://www.lib.purdue.edu/
www.oclc.org,Rockefeller University,http://markuslibrary.rockefeller.edu/
www.oclc.org,"The Royal Library, National Library of Denmark and Copenhagen University Library",http://www.kb.dk/en/
www.oclc.org,"Rutgers, The State University of New Jersey",http://www.libraries.rutgers.edu/
www.oclc.org,Saint Louis Art Museum,http://www.slam.org/
www.oclc.org,San Diego State University,http://infodome.sdsu.edu/index.shtml
www.oclc.org,Smithsonian Institution,http://www.sil.si.edu/
www.oclc.org,Southern Methodist University Underwood Law Library,http://library.law.smu.edu/
www.oclc.org,Stanford University Robert Crown Law Library,http://www.law.stanford.edu/organizations/offices/robert-crown-law-library
www.oclc.org,Stellenbosch University,http://library.sun.ac.za
www.oclc.org,Stony Brook University,http://www.library.stonybrook.edu/
www.oclc.org,Swarthmore College,http://www.swarthmore.edu/
www.oclc.org,Swiss National Library,http://www.nb.admin.ch/
www.oclc.org,Syracuse University,http://www.syr.edu/
www.oclc.org,Temple University,http://library.temple.edu/
www.oclc.org,Trinity College Dublin,http://www.tcd.ie/Library/
www.oclc.org,Tufts University,http://www.tufts.edu/home/libraries/
www.oclc.org,Tulane University,http://library.tulane.edu/
www.oclc.org,Università Cattolica del Sacro Cuore,http://www.unicatt.it/
www.oclc.org,University of Aberdeen,http://www.abdn.ac.uk/library/
www.oclc.org,University of Adelaide,http://www.adelaide.edu.au/library/
